player_name,start_date,tournament_id,tournament_name,event_type,tournament_start_date,course_name,round_id,green_id,green_name,hole_number,gir,par_round,sand,score,putts,in_position,tee_ball_location,approach_distance,putt_one_distance,putt_two_distance,putt_three_distance,putt_four_distance,putt_five_distance,second_shot,gir_of_third,go_for_location,lay_up_location,ball_position_x,ball_position_y,unit_system,distance_of_third,in_position_of_third,score_diff,scores_name,par_distance,yardage,shot,starting_distance
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36065,Hole 15,15,False,4,True,5,2,True,fairway,180.0,25,3.0,,,,,,,,0.7538461538461538,0.982051282051282,imperial,,,1,bogey,4,455,1,455.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36064,Hole 14,14,True,5,,5,3,True,fairway,209.0,27,5.0,1.0,,,goFor,,,,0.2461538461538461,0.558974358974359,imperial,,,0,par,5,528,1,528.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36063,Hole 13,13,True,3,,3,2,True,,160.0,25,5.0,,,,,,,,0.358974358974359,0.617948717948718,imperial,,,0,par,3,0,1,160.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36062,Hole 12,12,True,5,,4,2,True,fairway,180.0,14,1.0,,,,goFor,,,,0.6487179487179487,0.3692307692307692,imperial,,,-1,birdie,5,596,1,596.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36061,Hole 11,11,True,4,,4,2,True,fairway,150.0,30,2.0,,,,,,,,0.6948717948717948,0.9512820512820512,imperial,,,0,par,4,412,1,412.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36060,Hole 10,10,True,4,,4,2,True,fairway,120.0,19,3.0,,,,,,,,0.8256410256410256,0.6974358974358974,imperial,,,0,par,4,424,1,424.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36059,Hole 9,9,True,5,,4,1,True,fairway,245.0,1,,,,,goFor,,,,,,imperial,,,-1,birdie,5,561,1,561.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36058,Hole 8,8,True,3,,3,2,True,,165.0,22,1.0,,,,,,,,0.4512820512820513,0.3179487179487179,imperial,,,0,par,3,0,1,165.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36057,Hole 7,7,True,4,,4,2,True,fairway,115.0,20,5.0,,,,,,,,0.5512820512820513,0.3076923076923077,imperial,,,0,par,4,442,1,442.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36056,Hole 6,6,True,5,,5,2,True,fairway,200.0,6,1.0,,,,goFor,,,,0.4974358974358974,0.9692307692307692,imperial,,,0,par,5,544,1,544.0
